,Off Market Dwellings,Market Households,Market Dwellings,Dwellings Sold,Dwellings not Sold,Households not Housed,Immigrants,Emigrants,New Buyers,New Sellers,New Construction
0,0,1160,1764,1160,604,0,214,40,0,115,11
1,1045,174,730,174,556,0,189,43,32,125,7
2,1094,178,688,178,510,0,235,56,65,136,10
3,1136,244,656,222,434,22,216,66,100,142,14
4,1216,272,590,242,348,30,262,88,136,133,10
5,1325,340,491,292,199,48,222,99,198,160,7
6,1457,369,366,274,92,95,186,113,224,165,12
7,1566,392,269,238,31,154,214,108,194,166,9
8,1638,454,206,202,4,252,165,130,190,180,13
9,1660,477,197,188,9,289,215,134,175,182,11
10,1666,545,202,191,11,354,204,148,181,196,9
11,1661,591,216,206,10,385,205,148,197,189,10
12,1678,639,209,199,10,440,187,172,188,182,8
13,1695,643,200,189,11,454,248,183,181,181,8
14,1703,700,200,195,5,505,229,180,187,193,9
15,1705,741,207,200,7,541,208,201,191,198,13
16,1707,739,218,204,14,535,166,165,193,197,14
17,1714,729,225,204,21,525,189,176,190,203,11
18,1715,728,235,224,11,504,190,167,211,205,10
19,1734,738,226,209,17,529,177,179,199,195,6
20,1748,726,218,196,22,530,151,167,190,182,11
21,1762,704,215,197,18,507,160,175,187,191,10
22,1768,679,219,192,27,487,192,167,183,210,8
23,1750,695,245,208,37,487,195,186,199,177,6
24,1781,695,220,170,50,525,224,176,164,184,9
25,1767,737,243,185,58,552,217,200,176,192,8
26,1760,745,258,212,46,533,155,164,205,193,10
27,1779,729,249,211,38,518,195,175,200,208,8
28,1782,738,254,215,39,523,132,180,207,189,8
29,1808,682,236,197,39,485,232,181,189,211,9
30,1794,725,259,212,47,513,223,181,203,197,8
31,1809,758,252,219,33,539,169,182,211,207,9
32,1821,737,249,214,35,523,233,181,205,186,13
33,1849,780,234,198,36,582,173,202,186,192,10
34,1855,739,238,196,42,543,221,222,185,192,10
35,1859,727,244,219,25,508,169,174,209,228,9
36,1850,712,262,226,36,486,219,195,217,208,10
37,1868,727,254,222,32,505,227,180,212,205,9
38,1885,764,246,225,21,539,177,191,216,187,10
39,1923,741,218,193,25,548,150,178,183,200,10
40,1916,703,235,206,29,497,213,184,195,199,9
41,1923,721,237,195,42,526,225,208,186,222,8
42,1896,729,272,198,74,531,140,173,191,201,13
43,1893,689,288,196,92,493,192,173,185,194,12
44,1895,697,298,217,81,480,195,171,202,217,14
45,1895,706,312,231,81,475,224,193,218,196,14
46,1930,724,291,202,89,522,203,190,190,221,8
47,1911,725,318,210,108,515,199,188,203,222,7
48,1899,729,337,221,116,508,173,180,213,223,9
49,1897,714,348,215,133,499,188,157,205,219,8
